date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:41	53322/53322	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deb2-d04a%22	http://themepresss.com/tf/html/sadakat-live/index.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/index-2.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:41	4018/4018	---M--	200	added ('OK')	image/png	etag:%2260e2de9a-fb2%22	http://themepresss.com/tf/html/sadakat-live/assets/images/logo.png	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/logo.png	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:41	52181/52181	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deb1-cbd5%22	http://themepresss.com/tf/html/sadakat-live/index-2.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/index-3.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:42	53391/53391	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deb2-d08f%22	http://themepresss.com/tf/html/sadakat-live/index-3.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/index-4.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:42	30182/30182	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2dead-75e6%22	http://themepresss.com/tf/html/sadakat-live/causes.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/causes.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:42	37602/37602	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2dead-92e2%22	http://themepresss.com/tf/html/sadakat-live/causes-single.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/causes-single.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:42	25473/25473	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deb0-6381%22	http://themepresss.com/tf/html/sadakat-live/event.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/event.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:42	29042/29042	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deb0-7172%22	http://themepresss.com/tf/html/sadakat-live/event-single.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/event-single.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:43	36574/36574	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2de55-8ede%22	http://themepresss.com/tf/html/sadakat-live/about.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/about.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:43	27673/27673	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deb4-6c19%22	http://themepresss.com/tf/html/sadakat-live/volunteer.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/volunteer.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:43	21806/21806	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deaf-552e%22	http://themepresss.com/tf/html/sadakat-live/error.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/error.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:43	31431/31431	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2dead-7ac7%22	http://themepresss.com/tf/html/sadakat-live/blog.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/blog.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:44	31431/31431	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deaa-7ac7%22	http://themepresss.com/tf/html/sadakat-live/blog-left.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/blog-left.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:44	27328/27328	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deaa-6ac0%22	http://themepresss.com/tf/html/sadakat-live/blog-fulwidth.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/blog-fulwidth.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:44	37963/37963	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deac-944b%22	http://themepresss.com/tf/html/sadakat-live/blog-single.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/blog-single.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:44	37963/37963	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deab-944b%22	http://themepresss.com/tf/html/sadakat-live/blog-single-left.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/blog-single-left.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:45	33860/33860	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deab-8444%22	http://themepresss.com/tf/html/sadakat-live/blog-single-fluid.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/blog-single-fluid.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:45	25874/25874	---MCZ	200	added ('OK')	text/html	etag:W/%2260e2deae-6512%22	http://themepresss.com/tf/html/sadakat-live/contact.html	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/contact.html	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:45	1940/1940	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de9c-794%22	http://themepresss.com/tf/html/sadakat-live/assets/images/shop/mini/img-1.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/shop/mini/img-1.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:35:45	1807/1807	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de9d-70f%22	http://themepresss.com/tf/html/sadakat-live/assets/images/shop/mini/img-2.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/shop/mini/img-2.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:07	120607/120607	---M--	200	added ('OK')	image/jpeg	etag:%2260e2dea6-1d71f%22	http://themepresss.com/tf/html/sadakat-live/assets/images/Volunteers.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/Volunteers.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:08	6014/6014	---M--	200	added ('OK')	image/png	etag:%2260e2de95-177e%22	http://themepresss.com/tf/html/sadakat-live/assets/images/img-1.png	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/img-1.png	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:13	190280/190280	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de9e-2e748%22	http://themepresss.com/tf/html/sadakat-live/assets/images/slider/slide-1.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/slider/slide-1.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:13	167575/167575	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de9f-28e97%22	http://themepresss.com/tf/html/sadakat-live/assets/images/slider/slide-4.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/slider/slide-4.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:33	295873/295873	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de9e-483c1%22	http://themepresss.com/tf/html/sadakat-live/assets/images/slider/slide-3.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/slider/slide-3.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:35	130080/130080	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de83-1fc20%22	http://themepresss.com/tf/html/sadakat-live/assets/images/cause/img-3.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/cause/img-3.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:35	134124/134124	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de81-20bec%22	http://themepresss.com/tf/html/sadakat-live/assets/images/cause/img-2.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/cause/img-2.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:38	187457/187457	---M--	200	added ('OK')	image/png	etag:%2260e2de81-2dc41%22	http://themepresss.com/tf/html/sadakat-live/assets/images/cause/img-1.png	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/cause/img-1.png	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:51	101667/101667	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de83-18d23%22	http://themepresss.com/tf/html/sadakat-live/assets/images/cause/img-5.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/cause/img-5.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:53	126400/126400	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de83-1edc0%22	http://themepresss.com/tf/html/sadakat-live/assets/images/cause/img-4.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/cause/img-4.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:36:56	126429/126429	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de85-1eddd%22	http://themepresss.com/tf/html/sadakat-live/assets/images/cause/img-6.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/cause/img-6.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:37:58	497075/497075	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de90-795b3%22	http://themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-1.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-1.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:38:03	429770/429770	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de92-68eca%22	http://themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-3.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-3.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:38:13	503750/503750	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de91-7afc6%22	http://themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-2.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-2.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:38:49	218923/218923	---M--	200	added ('OK')	image/jpeg	etag:%2260e2dea3-3572b%22	http://themepresss.com/tf/html/sadakat-live/assets/images/team/team-1.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/team/team-1.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:02	780456/780456	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de93-be8a8%22	http://themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-4.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-4.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:13	148570/148570	---M--	200	added ('OK')	image/jpeg	etag:%2260e2dea3-2445a%22	http://themepresss.com/tf/html/sadakat-live/assets/images/team/team-2.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/team/team-2.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:19	471798/471798	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de95-732f6%22	http://themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-6.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-6.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:33	83226/83226	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de8a-1451a%22	http://themepresss.com/tf/html/sadakat-live/assets/images/event/img-2.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/event/img-2.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:42	243488/243488	---M--	200	added ('OK')	image/jpeg	etag:%2260e2dea5-3b720%22	http://themepresss.com/tf/html/sadakat-live/assets/images/team/team-3.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/team/team-3.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:50	49005/49005	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de74-bf6d%22	http://themepresss.com/tf/html/sadakat-live/assets/images/blog/1.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/blog/1.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:51	3213/3213	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de76-c8d%22	http://themepresss.com/tf/html/sadakat-live/assets/images/blog/7.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/blog/7.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:39:59	751081/751081	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de93-b75e9%22	http://themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-5.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/gallery/img-5.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:00	56302/56302	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de75-dbee%22	http://themepresss.com/tf/html/sadakat-live/assets/images/blog/2.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/blog/2.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:01	4146/4146	---M--	200	added ('OK')	image/png	etag:%2260e2de9a-1032%22	http://themepresss.com/tf/html/sadakat-live/assets/images/logo-2.png	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/logo-2.png	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:02	302241/302241	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de8a-49ca1%22	http://themepresss.com/tf/html/sadakat-live/assets/images/event/img-1.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/event/img-1.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:03	10298/10298	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de96-283a%22	http://themepresss.com/tf/html/sadakat-live/assets/images/instragram/1.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/instragram/1.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:04	12119/12119	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de97-2f57%22	http://themepresss.com/tf/html/sadakat-live/assets/images/instragram/2.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/instragram/2.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:05	12207/12207	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de97-2faf%22	http://themepresss.com/tf/html/sadakat-live/assets/images/instragram/3.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/instragram/3.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:07	13584/13584	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de97-3510%22	http://themepresss.com/tf/html/sadakat-live/assets/images/instragram/4.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/instragram/4.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
21:40:07	10701/10701	---M--	200	added ('OK')	image/jpeg	etag:%2260e2de99-29cd%22	http://themepresss.com/tf/html/sadakat-live/assets/images/instragram/5.jpg	D:/template_download/web1/themepresss.com/tf/html/sadakat-live/assets/images/instragram/5.jpg	(from http://themepresss.com/tf/html/sadakat-live/)
